state,year,votes_dem,votes_gop,total_votes
Alabama,2000,695602.0,944409.0,1672551
Alabama,2004,693933.0,1176394.0,1883415
Alabama,2008,813479.0,1266546.0,2099819
Alabama,2012,795696.0,1255925.0,2070353
Alabama,2016,729547.0,1318250.0,2123367
Alabama,2020,849648.0,1441168.0,2323304
Alaska,2000,79004.0,167398.0,285530
Alaska,2004,180365.0,292267.0,488693
Alaska,2008,123594.0,193841.0,326197
Alaska,2012,122640.0,164676.0,300495
Alaska,2016,116454.0,163387.0,323112
Alaska,2020,153405.0,189892.0,391346
Arizona,2000,685341.0,781652.0,1534113
Arizona,2004,893524.0,1104294.0,2012585
Arizona,2008,1034707.0,1230111.0,2293475
Arizona,2012,1025232.0,1233654.0,2299254
Arizona,2016,1161167.0,1252401.0,2628756
Arizona,2020,1672143.0,1661686.0,3387326
Arkansas,2000,422768.0,472940.0,921781
Arkansas,2004,468631.0,572770.0,1053694
Arkansas,2008,422310.0,638017.0,1086617
Arkansas,2012,394409.0,647744.0,1069468
Arkansas,2016,380494.0,684872.0,1129896
Arkansas,2020,423932.0,760647.0,1219069
California,2000,5861203.0,4567429.0,10965856
California,2004,6737355.0,5501496.0,12383678
California,2008,8274473.0,5011781.0,13561900
California,2012,7854285.0,4839958.0,13038547
California,2016,8753788.0,4483810.0,14181595
California,2020,11109764.0,6005961.0,17495906
Colorado,2000,738227.0,883745.0,1741365
Colorado,2004,1001732.0,1101255.0,2129630
Colorado,2008,1288576.0,1073589.0,2401361
Colorado,2012,1322998.0,1185050.0,2569217
Colorado,2016,1338870.0,1202484.0,2780220
Colorado,2020,1804352.0,1364607.0,3256953
Connecticut,2000,816015.0,561094.0,1459525
Connecticut,2004,857488.0,693826.0,1578769
Connecticut,2008,1000291.0,628041.0,1647085
Connecticut,2012,891674.0,624210.0,1533545
Connecticut,2016,897572.0,673215.0,1644920
Connecticut,2020,1080680.0,715291.0,1824280
Delaware,2000,180068.0,137288.0,327529
Delaware,2004,200141.0,171651.0,375170
Delaware,2008,255459.0,152374.0,412412
Delaware,2012,242584.0,165484.0,413937
Delaware,2016,235603.0,185127.0,442997
Delaware,2020,296268.0,200603.0,504010
District of Columbia,2000,171923.0,18073.0,201894
District of Columbia,2004,202970.0,21256.0,227586
District of Columbia,2008,245800.0,17367.0,265853
District of Columbia,2012,267070.0,21381.0,293764
District of Columbia,2016,282830.0,12723.0,311268
District of Columbia,2020,317323.0,18586.0,344356
Florida,2000,2911417.0,2911215.0,5960660
Florida,2004,3583544.0,3964522.0,7609810
Florida,2008,4282366.0,4046212.0,8391639
Florida,2012,4237756.0,4163447.0,8474179
Florida,2016,4504975.0,4617886.0,9420039
Florida,2020,5297045.0,5668731.0,11067456
Georgia,2000,1116230.0,1419720.0,2596804
Georgia,2004,1366149.0,1914254.0,3298790
Georgia,2008,1844137.0,2048744.0,3925278
Georgia,2012,1773827.0,2078688.0,3900050
Georgia,2016,1877963.0,2089104.0,4114711
Georgia,2020,2473633.0,2461854.0,4997716
Hawaii,2000,205242.0,137819.0,367871
Hawaii,2004,231335.0,194116.0,428555
Hawaii,2008,325201.0,120429.0,452742
Hawaii,2012,306266.0,120937.0,434221
Hawaii,2016,266891.0,128847.0,428937
Hawaii,2020,366130.0,196864.0,574469
Idaho,2000,138637.0,336937.0,501621
Idaho,2004,181098.0,409235.0,598376
Idaho,2008,236440.0,403012.0,655032
Idaho,2012,212787.0,420911.0,652274
Idaho,2016,189765.0,409055.0,690433
Idaho,2020,287021.0,554118.0,868105
Illinois,2000,2589026.0,2019421.0,4742123
Illinois,2004,2891989.0,2346608.0,5275415
Illinois,2008,3419673.0,2031527.0,5523051
Illinois,2012,3019512.0,2135102.0,5241891
Illinois,2016,3090729.0,2146015.0,5558707
Illinois,2020,3471915.0,2446891.0,6038850
Indiana,2000,901980.0,1245836.0,2199305
Indiana,2004,969011.0,1479438.0,2468002
Indiana,2008,1374039.0,1345648.0,2751054
Indiana,2012,1152887.0,1420543.0,2624534
Indiana,2016,1033126.0,1557286.0,2734958
Indiana,2020,1242495.0,1729852.0,3033198
Iowa,2000,638517.0,634373.0,1315563
Iowa,2004,741898.0,751957.0,1506908
Iowa,2008,828940.0,682379.0,1536820
Iowa,2012,822544.0,730617.0,1582180
Iowa,2016,653669.0,800983.0,1566031
Iowa,2020,759061.0,897672.0,1690871
Kansas,2000,399276.0,622332.0,1072216
Kansas,2004,434993.0,736456.0,1187756
Kansas,2008,514765.0,699655.0,1235872
Kansas,2012,439908.0,689809.0,1156254
Kansas,2016,427005.0,671018.0,1184403
Kansas,2020,558669.0,758100.0,1349567
Kentucky,2000,638898.0,872492.0,1544187
Kentucky,2004,712733.0,1069439.0,1795860
Kentucky,2008,751985.0,1048462.0,1826508
Kentucky,2012,679370.0,1087190.0,1797212
Kentucky,2016,628854.0,1202971.0,1924149
Kentucky,2020,772474.0,1326646.0,2136768
Louisiana,2000,792344.0,927871.0,1765656
Louisiana,2004,820299.0,1102169.0,1943106
Louisiana,2008,781574.0,1148015.0,1959085
Louisiana,2012,809141.0,1152262.0,1994065
Louisiana,2016,780154.0,1178638.0,2029032
Louisiana,2020,856034.0,1255776.0,2148062
Maine,2000,319951.0,286616.0,651817
Maine,2004,364153.0,308997.0,686510
Maine,2008,421923.0,295273.0,731163
Maine,2012,399235.0,291418.0,710126
Maine,2016,354718.0,334945.0,743941
Maine,2020,430473.0,359899.0,813740
Maryland,2000,1145782.0,813797.0,2025480
Maryland,2004,1334493.0,1024703.0,2386678
Maryland,2008,1629467.0,959862.0,2631596
Maryland,2012,1677844.0,971869.0,2707327
Maryland,2016,1677928.0,943169.0,2781446
Maryland,2020,1985023.0,976414.0,3037030
Massachusetts,2000,1616487.0,878502.0,2702984
Massachusetts,2004,1803800.0,1071109.0,2912388
Massachusetts,2008,1904103.0,1108885.0,3081336
Massachusetts,2012,1921290.0,1188314.0,3167767
Massachusetts,2016,1995196.0,1090893.0,3274555
Massachusetts,2020,2382202.0,1167202.0,3631402
Michigan,2000,2170418.0,1953139.0,4232711
Michigan,2004,2479183.0,2313746.0,4839252
Michigan,2008,2872579.0,2048639.0,5001766
Michigan,2012,2564569.0,2115256.0,4730961
Michigan,2016,2268839.0,2279543.0,4799284
Michigan,2020,2804040.0,2649852.0,5539302
Minnesota,2000,1168266.0,1109659.0,2438685
Minnesota,2004,1444751.0,1346451.0,2827850
Minnesota,2008,1573354.0,1275409.0,2910369
Minnesota,2012,1546167.0,1320225.0,2936561
Minnesota,2016,1367716.0,1322951.0,2944813
Minnesota,2020,1717077.0,1484065.0,3277171
Mississippi,2000,404964.0,573230.0,994926
Mississippi,2004,440034.0,666295.0,1114859
Mississippi,2008,554662.0,724497.0,1285259
Mississippi,2012,562949.0,710746.0,1285584
Mississippi,2016,485131.0,700714.0,1209357
Mississippi,2020,539398.0,756764.0,1315178
Missouri,2000,1111138.0,1189924.0,2359892
Missouri,2004,1259171.0,1455713.0,2731364
Missouri,2008,1441911.0,1445814.0,2925205
Missouri,2012,1223796.0,1482440.0,2757312
Missouri,2016,1071068.0,1594511.0,2807381
Missouri,2020,1253014.0,1718736.0,3025962
Montana,2000,137126.0,240178.0,410986
Montana,2004,173710.0,266063.0,450434
Montana,2008,232156.0,243860.0,496072
Montana,2012,201839.0,267928.0,483932
Montana,2016,177709.0,279240.0,497147
Montana,2020,244786.0,343602.0,605750
Nebraska,2000,231780.0,433862.0,697019
Nebraska,2004,254328.0,512814.0,778186
Nebraska,2008,333319.0,452979.0,801281
Nebraska,2012,302081.0,475064.0,794379
Nebraska,2016,284494.0,495961.0,844187
Nebraska,2020,374583.0,556846.0,956379
Nevada,2000,279978.0,301575.0,608970
Nevada,2004,397190.0,418690.0,829587
Nevada,2008,533736.0,412827.0,967848
Nevada,2012,531373.0,463567.0,1014918
Nevada,2016,539260.0,512058.0,1125385
Nevada,2020,703486.0,669890.0,1405376
New Hampshire,2000,266348.0,273559.0,569081
New Hampshire,2004,340511.0,331237.0,677662
New Hampshire,2008,384826.0,316534.0,710970
New Hampshire,2012,369561.0,329918.0,710931
New Hampshire,2016,348526.0,345790.0,744296
New Hampshire,2020,424921.0,365654.0,804430
New Jersey,2000,1788850.0,1284173.0,3187226
New Jersey,2004,1911430.0,1668003.0,3609691
New Jersey,2008,2215422.0,1613207.0,3838498
New Jersey,2012,2125101.0,1477568.0,3640292
New Jersey,2016,2148278.0,1601933.0,3874046
New Jersey,2020,2608335.0,1883274.0,4564234
New Mexico,2000,286783.0,286417.0,598605
New Mexico,2004,370942.0,376930.0,756304
New Mexico,2008,472422.0,346832.0,830158
New Mexico,2012,415335.0,335788.0,783758
New Mexico,2016,385234.0,319667.0,798319
New Mexico,2020,501614.0,401894.0,923965
New York,2000,4107697.0,2403374.0,6821999
New York,2004,4180755.0,2806993.0,7391036
New York,2008,4769700.0,2742298.0,7591233
New York,2012,4324228.0,2223397.0,7061925
New York,2016,4547562.0,2814589.0,7707363
New York,2020,5244006.0,3250230.0,8616205
North Carolina,2000,1257692.0,1631163.0,2911262
North Carolina,2004,1525849.0,1961166.0,3501007
North Carolina,2008,2142651.0,2128474.0,4310789
North Carolina,2012,2178391.0,2270395.0,4505372
North Carolina,2016,2189316.0,2362631.0,4741564
North Carolina,2020,2684292.0,2758773.0,5524801
North Dakota,2000,95284.0,174852.0,288267
North Dakota,2004,111052.0,196651.0,312833
North Dakota,2008,141278.0,168601.0,316621
North Dakota,2012,124966.0,188320.0,322932
North Dakota,2016,93758.0,216794.0,344360
North Dakota,2020,114902.0,235595.0,361819
Ohio,2000,2186190.0,2351209.0,4705457
Ohio,2004,2739952.0,2858727.0,5625631
Ohio,2008,2933388.0,2674491.0,5698048
Ohio,2012,2827621.0,2661407.0,5580822
Ohio,2016,2394164.0,2841005.0,5496487
Ohio,2020,2679165.0,3154834.0,5922202
Oklahoma,2000,474276.0,744337.0,1234229
Oklahoma,2004,503966.0,959792.0,1463758
Oklahoma,2008,502496.0,960165.0,1462661
Oklahoma,2012,443547.0,891325.0,1334872
Oklahoma,2016,420375.0,949136.0,1452992
Oklahoma,2020,503890.0,1020280.0,1560699
Oregon,2000,720342.0,713577.0,1533968
Oregon,2004,943163.0,866831.0,1836782
Oregon,2008,1037291.0,738475.0,1827864
Oregon,2012,970488.0,754175.0,1789270
Oregon,2016,1002106.0,782403.0,2001336
Oregon,2020,1340383.0,958448.0,2374321
Pennsylvania,2000,2485967.0,2281127.0,4912185
Pennsylvania,2004,2938095.0,2793847.0,5765764
Pennsylvania,2008,3266523.0,2649934.0,5977981
Pennsylvania,2012,2990274.0,2680434.0,5742040
Pennsylvania,2016,2926441.0,2970733.0,6115402
Pennsylvania,2020,3459923.0,3378263.0,6925255
Rhode Island,2000,249508.0,130555.0,409112
Rhode Island,2004,259760.0,169046.0,436289
Rhode Island,2008,296571.0,165391.0,471766
Rhode Island,2012,279409.0,157151.0,445719
Rhode Island,2016,251888.0,180490.0,463416
Rhode Island,2020,306210.0,199837.0,516383
South Carolina,2000,566039.0,786426.0,1383777
South Carolina,2004,661699.0,937974.0,1617730
South Carolina,2008,862449.0,1034896.0,1920969
South Carolina,2012,865941.0,1071645.0,1964118
South Carolina,2016,855373.0,1155389.0,2103027
South Carolina,2020,1091541.0,1385103.0,2513329
South Dakota,2000,118804.0,190700.0,316269
South Dakota,2004,149244.0,232584.0,388215
South Dakota,2008,170924.0,203054.0,377708
South Dakota,2012,145039.0,210610.0,363815
South Dakota,2016,117458.0,227721.0,370093
South Dakota,2020,150471.0,261043.0,422609
Tennessee,2000,981720.0,1061949.0,2076181
Tennessee,2004,1032910.0,1381225.0,2430494
Tennessee,2008,1087437.0,1479178.0,2600124
Tennessee,2012,960709.0,1462330.0,2458577
Tennessee,2016,870695.0,1522925.0,2508027
Tennessee,2020,1143711.0,1852475.0,3053851
Texas,2000,2433746.0,3799639.0,6407637
Texas,2004,2832704.0,4526917.0,7410749
Texas,2008,3528633.0,4479328.0,8077795
Texas,2012,3308124.0,4569843.0,7993851
Texas,2016,3877868.0,4685047.0,8969226
Texas,2020,5259126.0,5890347.0,11317911
Utah,2000,203053.0,515096.0,770754
Utah,2004,241199.0,663742.0,927844
Utah,2008,327670.0,596030.0,952370
Utah,2012,251813.0,740600.0,1017440
Utah,2016,310676.0,515231.0,1131430
Utah,2020,560282.0,865140.0,1488289
Vermont,2000,149022.0,119775.0,294308
Vermont,2004,184067.0,121180.0,312309
Vermont,2008,219262.0,98974.0,325046
Vermont,2012,199239.0,92698.0,299290
Vermont,2016,178573.0,95369.0,315077
Vermont,2020,242820.0,112704.0,367428
Virginia,2000,1216422.0,1436877.0,2737915
Virginia,2004,1454742.0,1716959.0,3198367
Virginia,2008,1959532.0,1725005.0,3723260
Virginia,2012,1971820.0,1822522.0,3854489
Virginia,2016,1981473.0,1769443.0,3984631
Virginia,2020,2413568.0,1962430.0,4460524
Washington,2000,1247652.0,1108864.0,2488441
Washington,2004,1510201.0,1304894.0,2859084
Washington,2008,1750848.0,1229216.0,3036878
Washington,2012,1755396.0,1290670.0,3125516
Washington,2016,1742718.0,1221747.0,3209214
Washington,2020,2369612.0,1584651.0,4087631
West Virginia,2000,295497.0,336475.0,648124
West Virginia,2004,326541.0,423550.0,755659
West Virginia,2008,303857.0,397466.0,713451
West Virginia,2012,238269.0,417655.0,670440
West Virginia,2016,188794.0,489371.0,713051
West Virginia,2020,235984.0,545382.0,794652
Wisconsin,2000,1242987.0,1237279.0,2598607
Wisconsin,2004,1489504.0,1478120.0,2997007
Wisconsin,2008,1677211.0,1262393.0,2983417
Wisconsin,2012,1620985.0,1410966.0,3071434
Wisconsin,2016,1381823.0,1404440.0,2975753
Wisconsin,2020,1630673.0,1610065.0,3297352
Wyoming,2000,60481.0,147947.0,218351
Wyoming,2004,70776.0,167629.0,243428
Wyoming,2008,82868.0,164958.0,256035
Wyoming,2012,69286.0,170962.0,249061
Wyoming,2016,55973.0,174419.0,255849
Wyoming,2020,73491.0,193559.0,276765
